"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Switzerland (CH)","19.03.2024 10:00 - 19.03.2024 11:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","461","","264","638","n/e","2965","n/e","n/e","520","n/e","n/e","1"
"Switzerland (CH)","19.03.2024 11:00 - 19.03.2024 12:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","212","","233","618","n/e","2965","n/e","n/e","890","n/e","n/e","1"
"Switzerland (CH)","19.03.2024 12:00 - 19.03.2024 13:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","166","","223","385","n/e","2963","n/e","n/e","2117","n/e","n/e","1"
"Switzerland (CH)","19.03.2024 13:00 - 19.03.2024 14:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","127","","237","521","n/e","2958","n/e","n/e","1939","n/e","n/e","5"
"Switzerland (CH)","19.03.2024 14:00 - 19.03.2024 15:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","160","","231","641","n/e","2957","n/e","n/e","1331","n/e","n/e","6"
"Switzerland (CH)","19.03.2024 15:00 - 19.03.2024 16:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","582","","244","1140","n/e","2954","n/e","n/e","1806","n/e","n/e","7"
"Switzerland (CH)","19.03.2024 16:00 - 19.03.2024 17:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1010","","289","1756","n/e","2945","n/e","n/e","1197","n/e","n/e","7"
"Switzerland (CH)","19.03.2024 17:00 - 19.03.2024 18:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2216","","306","2643","n/e","2946","n/e","n/e","544","n/e","n/e","4"
"Switzerland (CH)","19.03.2024 18:00 - 19.03.2024 19:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2686","","294","2808","n/e","2943","n/e","n/e","89","n/e","n/e","4"
"Switzerland (CH)","19.03.2024 19:00 - 19.03.2024 20:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2767","","310","2804","n/e","2940","n/e","n/e","0","n/e","n/e","6"
"Switzerland (CH)","19.03.2024 20:00 - 19.03.2024 21:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2684","","297","2855","n/e","2944","n/e","n/e","0","n/e","n/e","7"
"Switzerland (CH)","19.03.2024 21:00 - 19.03.2024 22:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1874","","256","2627","n/e","2950","n/e","n/e","0","n/e","n/e","5"
"Switzerland (CH)","19.03.2024 22:00 - 19.03.2024 23:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1236","","232","2256","n/e","2953","n/e","n/e","0","n/e","n/e","3"
"Switzerland (CH)","19.03.2024 23:00 - 20.03.2024 00:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1000","","232","1273","n/e","2956","n/e","n/e","0","n/e","n/e","3"
"Switzerland (CH)","20.03.2024 00:00 - 20.03.2024 01:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","761","","225","1058","n/e","2957","n/e","n/e","0","n/e","n/e","3"
"Switzerland (CH)","20.03.2024 01:00 - 20.03.2024 02:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","659","","212","1398","n/e","2958","n/e","n/e","0","n/e","n/e","5"
"Switzerland (CH)","20.03.2024 02:00 - 20.03.2024 03:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","536","","227","949","n/e","2962","n/e","n/e","0","n/e","n/e","5"
"Switzerland (CH)","20.03.2024 03:00 - 20.03.2024 04:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","499","","234","844","n/e","2963","n/e","n/e","0","n/e","n/e","4"
"Switzerland (CH)","20.03.2024 04:00 - 20.03.2024 05:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","543","","241","873","n/e","2962","n/e","n/e","0","n/e","n/e","4"
"Switzerland (CH)","20.03.2024 05:00 - 20.03.2024 06:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1219","","231","1720","n/e","2962","n/e","n/e","0","n/e","n/e","7"
"Switzerland (CH)","20.03.2024 06:00 - 20.03.2024 07:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2157","","262","2558","n/e","2962","n/e","n/e","3","n/e","n/e","12"
"Switzerland (CH)","20.03.2024 07:00 - 20.03.2024 08:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2129","","312","2577","n/e","2962","n/e","n/e","159","n/e","n/e","18"
"Switzerland (CH)","20.03.2024 08:00 - 20.03.2024 09:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1584","","291","2355","n/e","2964","n/e","n/e","625","n/e","n/e","16"
"Switzerland (CH)","20.03.2024 09:00 - 20.03.2024 10:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","715","","246","1315","n/e","2965","n/e","n/e","1297","n/e","n/e","14"
"Switzerland (CH)","20.03.2024 10:00 - 20.03.2024 11:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","289","","246","618","n/e","2963","n/e","n/e","1795","n/e","n/e","9"
"Switzerland (CH)","20.03.2024 11:00 - 20.03.2024 12:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","231","","231","400","n/e","2953","n/e","n/e","2284","n/e","n/e","4"
"Switzerland (CH)","20.03.2024 12:00 - 20.03.2024 13:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","169","","237","306","n/e","2948","n/e","n/e","2433","n/e","n/e","4"
"Switzerland (CH)","20.03.2024 13:00 - 20.03.2024 14:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","206","","229","415","n/e","2943","n/e","n/e","2398","n/e","n/e","1"
"Switzerland (CH)","20.03.2024 14:00 - 20.03.2024 15:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","190","","240","361","n/e","2936","n/e","n/e","2016","n/e","n/e","3"
"Switzerland (CH)","20.03.2024 15:00 - 20.03.2024 16:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","402","","255","872","n/e","2933","n/e","n/e","1474","n/e","n/e","3"
"Switzerland (CH)","20.03.2024 16:00 - 20.03.2024 17:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1290","","278","2336","n/e","2931","n/e","n/e","1149","n/e","n/e","4"
"Switzerland (CH)","20.03.2024 17:00 - 20.03.2024 18:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1946","","308","2547","n/e","2932","n/e","n/e","528","n/e","n/e","3"
"Switzerland (CH)","20.03.2024 18:00 - 20.03.2024 19:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2282","","307","2792","n/e","2932","n/e","n/e","89","n/e","n/e","5"
"Switzerland (CH)","20.03.2024 19:00 - 20.03.2024 20:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2222","","304","2816","n/e","2935","n/e","n/e","0","n/e","n/e","5"
"Switzerland (CH)","20.03.2024 20:00 - 20.03.2024 21:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2074","","286","2669","n/e","2940","n/e","n/e","0","n/e","n/e","6"
"Switzerland (CH)","20.03.2024 21:00 - 20.03.2024 22:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1662","","263","2582","n/e","2944","n/e","n/e","0","n/e","n/e","5"
"Switzerland (CH)","20.03.2024 22:00 - 20.03.2024 23:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1310","","225","2459","n/e","2948","n/e","n/e","0","n/e","n/e","5"
